name,ra,dec,objid,cModelAbsMag_r,logMass,age,metallicity,petroR50_r,petroR90_r
1237654604776276109,131.3825,2.475874,1237654604776276109,-20.51341,11.47961,6.525169,0.0077,4.437081,13.63323
1237654383051604192,136.9768,52.79054,1237654383051604192,-21.32203,11.56598,3.496192,0.03,4.248443,13.62887
1237654383051342069,136.3119,52.38459,1237654383051342069,-19.51175,10.75166,2.479575,0.0077,2.509465,8.176691
1237653613183828146,136.9453,52.07154,1237653613183828146,-20.52397,11.42207,4.531395,0.0077,6.564927,18.42111
1237653614256717958,133.7085,51.29,1237653614256717958,-20.22315,11.09884,2.746209,0.0096,3.141707,9.185319
1237654391643177035,125.7362,45.48594,1237654391643177035,-20.16168,11.3866,13.11983,0.0077,4.405332,15.24759
1237674290754945178,116.3988,33.96295,1237674290754945178,-20.05498,11.04071,3.410037,0.03,4.359776,14.48814
1237651737370951859,187.6759,3.163898,1237651737370951859,-21.07047,11.30764,2.242026,0.0077,2.624521,8.738742
1237651737369706624,184.881,3.141471,1237651737369706624,-19.58283,10.93777,3.410037,0.0077,1.53047,4.690357
1237651735757455411,181.1128,1.895971,1237651735757455411,-20.75533,11.72735,13.11983,0.015,17.66738,56.44518
1237651272972239028,172.9139,67.24171,1237651272972239028,-20.84222,11.35796,2.831355,0.0077,8.881394,29.53732
1237648722827346115,147.9551,1.133886,1237648722827346115,-20.14159,11.01236,2.36435,0.0077,3.184678,10.40979
1237648722821447727,134.5206,1.153754,1237648722821447727,-20.57996,11.49519,8.064765,0.0077,4.739504,16.16922
1237653664715112799,134.2929,1.413805,1237653664715112799,-19.82965,10.91208,2.36435,0.03,2.32327,7.564621
1237651251487309979,134.6522,54.31737,1237651251487309979,-21.55968,11.85669,5.404706,0.03,7.801266,23.93576
1237651251487047912,134.0497,53.92525,1237651251487047912,-20.73608,11.28042,3.410037,0.03,4.389245,14.04515
1237653614794309827,135.2835,52.74078,1237653614794309827,-20.26168,11.14515,3.410037,0.03,3.023793,9.493567
1237663783680802911,46.37854,-0.4050024,1237663783680802911,-20.1191,11.31363,9.129735,0.0077,4.891601,16.83389
1237657071697789026,31.48763,0.7733266,1237657071697789026,-20.28151,11.13482,2.831355,0.0077,5.94919,19.66617
1237666407379304674,24.30365,-0.5043135,1237666407379304674,-20.68379,11.27285,2.746209,0.0077,6.562608,21.40393
1237666339190472908,20.09641,-0.07897954,1237666339190472908,-21.55461,11.7761,3.809607,0.0077,6.917687,22.93582
1237663784203583801,14.21622,0.005843572,1237663784203583801,-20.021,11.03771,2.831355,0.0077,4.961975,14.58464
1237663479798956057,340.8373,0.4733856,1237663479798956057,-20.56164,11.22669,2.831355,0.0077,3.649403,11.3833
1237659895636295956,260.6623,58.60574,1237659895636295956,-19.61517,10.86075,2.906923,0.0077,3.635065,12.63912
1237651226784890915,262.3383,54.25725,1237651226784890915,-20.59465,11.45359,6.636447,0.0077,3.438797,11.66091
1237671939804561476,258.1199,64.06075,1237671939804561476,-21.69284,11.74835,2.831355,0.0077,13.20233,43.58417
1237671941415371056,258.6275,65.28971,1237671941415371056,-20.69795,11.26799,2.831355,0.0077,5.783605,19.0186
1237650371563290737,197.3296,-1.622531,1237650371563290737,-21.46386,11.91321,8.227038,0.0077,7.53758,21.04553
1237650371025436774,195.1427,-2.134075,1237650371025436774,-21.04463,11.66774,5.860279,0.0077,5.713219,18.85715
1237650369414889664,195.2814,-3.447935,1237650369414889664,-21.01256,11.45114,3.496192,0.03,4.285386,12.38781
